domain_id,rank,domain,search_term,umametry_relevance,screening_status,evidence_id,next_action,note
DOM-028,28,급여 관리,payroll,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-029,29,경비 관리,expense management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-030,30,매장 결제,POS,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-031,31,소셜 네트워크,social network,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-032,32,메신저,messaging,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-033,33,커뮤니티 포럼,online community,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-034,34,크리에이터 플랫폼,creator platform,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-035,35,라이브 스트리밍,live streaming,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-036,36,짧은 영상,short video,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-037,37,사진 공유,photo sharing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-038,38,블로그·뉴스레터,blog newsletter,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-039,39,팬 커뮤니티,fan community,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-040,40,데이팅,dating,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-041,41,동영상 스트리밍,video streaming,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-042,42,음악 스트리밍,music streaming,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-043,43,팟캐스트,podcast,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-044,44,오디오북,audiobook,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-045,45,디지털 만화,webtoon comics,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-046,46,전자책,e-book,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-047,47,게임 스트리밍,game streaming,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-048,48,티켓 예매,ticketing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-049,49,이벤트 발견,event discovery,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-050,50,팬덤 멤버십,fan membership,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-051,51,온라인 강의,online learning,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-052,52,언어 학습,language learning,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-053,53,시험 대비,test prep,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-054,54,직무 교육,career learning,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-055,55,코딩 교육,coding education,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-056,56,어린이 교육,kids learning,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-057,57,대학 학습관리,LMS,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-058,58,튜터 매칭,tutoring marketplace,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-059,59,학습 노트,note learning,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-060,60,자격증 교육,certification learning,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-061,61,생성형 AI 도우미,generative AI assistant,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-062,62,AI 글쓰기,AI writing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-063,63,AI 이미지,AI image creation,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-064,64,AI 영상,AI video creation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-065,65,AI 음성,AI voice,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-066,66,AI 코드,AI coding,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-067,67,AI 고객지원,AI support,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-068,68,AI 검색,AI search,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-069,69,AI 자동화,AI automation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-070,70,프롬프트 학습,prompt learning,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-071,71,생산성 통합 작업공간,productivity workspace,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-072,72,할 일 관리,task management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-073,73,프로젝트 관리,project management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-074,74,문서 협업,document collaboration,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-075,75,지식관리,knowledge management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-076,76,일정·캘린더,calendar,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-077,77,이메일 생산성,email productivity,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-078,78,전자서명,e-signature,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-079,79,양식·설문,form builder,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-080,80,회의 기록,meeting notes,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-081,81,팀 메신저,team chat,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-082,82,화상회의,video conferencing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-083,83,원격 협업,remote collaboration,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-084,84,화이트보드,online whiteboard,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-085,85,디자인 협업,design collaboration,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-086,86,개발자 협업,developer collaboration,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-087,87,워크플로 자동화,workflow automation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-088,88,업무 통합,iPaaS integration,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-089,89,사내 포털,employee portal,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-090,90,전자결재,approval workflow,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-091,91,CRM,customer relationship management,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-092,92,영업 자동화,sales automation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-093,93,마케팅 자동화,marketing automation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-094,94,이메일 마케팅,email marketing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-095,95,고객 데이터 플랫폼,CDP,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-096,96,광고 관리,ad management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-097,97,검색엔진 최적화,SEO,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-098,98,웹 분석,web analytics,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-099,99,전환율 최적화,CRO,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-100,100,제휴 마케팅,affiliate marketing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-101,101,고객지원 헬프데스크,help desk,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-102,102,라이브 채팅,live chat,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-103,103,고객 피드백,customer feedback,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-104,104,리뷰 관리,review management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-105,105,고객 성공,customer success,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-106,106,콜센터,contact center,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-107,107,예약 관리,appointment scheduling,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-108,108,대기열 관리,queue management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-109,109,현장 서비스,field service,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-110,110,멤버십·로열티,loyalty,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-111,111,병원 예약,healthcare booking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-112,112,원격 진료,telehealth,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-113,113,건강 기록,personal health record,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-114,114,정신건강,mental wellness,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-115,115,명상·수면,meditation sleep,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-116,116,운동 추적,fitness tracking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-117,117,식단 관리,nutrition tracking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-118,118,여성 건강,women's health,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-119,119,노인 돌봄,elder care,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-120,120,약국·처방,pharmacy,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-121,121,부동산 검색,property search,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-122,122,임대 관리,property management,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-123,123,단기 숙박,vacation rental,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-124,124,호텔 예약,hotel booking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-125,125,항공 예약,flight booking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-126,126,여행 일정,trip planning,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-127,127,렌터카,car rental,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-128,128,지역 체험,local experiences,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-129,129,비자·이민 지원,visa support,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-130,130,출장 관리,business travel,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-131,131,차량 호출,ride hailing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-132,132,택시 호출,taxi booking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-133,133,대중교통 안내,transit navigation,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-134,134,지도·내비게이션,maps navigation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-135,135,주차,parking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-136,136,전기차 충전,EV charging,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-137,137,차량 공유,car sharing,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-138,138,자전거·킥보드,micromobility,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-139,139,물류 추적,parcel tracking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-140,140,화물 운송,freight logistics,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-141,141,구직,job search,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-142,142,채용 관리,ATS,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-143,143,프리랜서 마켓,freelance marketplace,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-144,144,전문 서비스 마켓,professional services,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-145,145,직원 교육,employee training,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-146,146,인사 관리,HRMS,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-147,147,근태 관리,time attendance,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-148,148,복지 관리,employee benefits,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-149,149,조직문화,employee engagement,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-150,150,인력 분석,people analytics,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-151,151,식당 예약,restaurant reservation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-152,152,레시피·요리,recipe cooking,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-153,153,식단 배달,meal kit,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-154,154,농산물 직거래,farm-to-table,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-155,155,카페 주문,coffee ordering,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-156,156,주류 배달,alcohol delivery,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-157,157,반려동물 쇼핑,pet commerce,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-158,158,반려동물 돌봄,pet care,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-159,159,반려동물 건강,pet health,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-160,160,반려동물 커뮤니티,pet community,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-161,161,게임 유통,game distribution,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-162,162,모바일 게임,mobile gaming,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-163,163,e스포츠,esports,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-164,164,게임 길드,gaming community,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-165,165,게임 제작 도구,game creation,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-166,166,AR 경험,augmented reality,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-167,167,VR 경험,virtual reality,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-168,168,교육 게임,educational games,MEDIUM,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-169,169,퍼즐·두뇌훈련,brain training,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-170,170,보드게임 디지털,board games,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-171,171,뉴스,news,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-172,172,금융 뉴스,financial news,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-173,173,지역 뉴스,local news,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-174,174,날씨,weather,LOW,SCREENED_FROM_CATALOG,E-001,boundary_reference,카탈로그 매칭은 실제 기능·시장 검증이 아님
DOM-175,175,스포츠 뉴스,sports news,HIGH,SCREENED_FROM_CATALOG,E-001,official_candidate_discovery,카탈로그 매칭은 실제 기능·시장 검증이 아님
